"idBank";"Dernière mise à jour";"IPAGRI";"﻿Base de l'indice";"Indicateur";"Correction";"Série arrêtée";"Puissance";"Nomenclature de l'indice des prix agricoles";"Zone géographique";"Unité";"Périodicité";"Nature"
"010777403";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Insecticides vigne";"France";"sans objet";"Mensuelle";"Indice"
"010777404";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Insecticides cultures fruitières (y compris produits tropicaux)";"France";"sans objet";"Mensuelle";"Indice"
"010777405";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Insecticides autres cultures : cultures légumières, horticulture ornementale, racines et tubercules (igname, patate douce, manioc, dachine, …) jachères";"France";"sans objet";"Mensuelle";"Indice"
"010777413";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Produits bio-contrôle pour cultures annuelles (céréales, betteraves, pommes de terre, oléagineux, cultures fourragères, plantes industriels (lin, chanve, ,,,)";"France";"sans objet";"Mensuelle";"Indice"
"010777415";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Produits bio-contrôle pour autres cultures annuelles : cultures légumières, horticulture ornementale, racines et tubercules (igname, patate douce, manioc, dachine, …)";"France";"sans objet";"Mensuelle";"Indice"
"010777416";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Produits biocides (lutte contre les nuisibles, rodenticides, insecticides, répulsifs)";"France";"sans objet";"Mensuelle";"Indice"
"010777422";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Aliments : orge";"France";"sans objet";"Mensuelle";"Indice"
"010777423";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Aliments : blé tendre";"France";"sans objet";"Mensuelle";"Indice"
"010777424";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Aliments : autres céréales  (Triticale, avoine, seigle, sorgho)";"France";"sans objet";"Mensuelle";"Indice"
"010777431";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Aliments : luzerne déshydratée";"France";"sans objet";"Mensuelle";"Indice"
